Symbol	Description
00230.HK	Minmetals Land
00231.HK	Dynamic Global Holdings Ltd
00232.HK	AVIC International
00233.HK	Mingyuan Medicare Development Co. Ltd
00234.HK	New Century Group Hong Kong Ltd
00235.HK	China Strategic Holdings Ltd
00236.HK	San Miguel Brewery Hong Kong Ltd
00237.HK	Safety Godown Co. Ltd
00238.HK	Lei Shing Hong Ltd
00239.HK	Pak Fah Yeow International Ltd
00240.HK	Build King Holdings Ltd
00241.HK	CITIC 21CN Co. Ltd
00242.HK	Shun Tak Holdings Ltd
00243.HK	QPL International Holdings Ltd
00244.HK	Sincere Co. Ltd
00245.HK	Landune International Ltd
00246.HK	Henderson China Holdings Limtied
00247.HK	Tsim Sha Tsui Properties Ltd
00248.HK	HKC International Holdings Ltd
00250.HK	Sino-i Technology Ltd
00251.HK	S E A Holdings Ltd
00252.HK	Southeast Asia Properties & Finance Ltd
00253.HK	Shun Ho Resources Holdings Ltd
00254.HK	eCyberChina Holdings Ltd
00255.HK	Lung Kee (Bermuda) Holdings Ltd
00256.HK	China Haidian Holdings Ltd
00257.HK	China Everbright International Ltd
00258.HK	Tomson Group Ltd
00259.HK	Yeebo (International Holdings) Ltd
00260.HK	Sino Gas Group Ltd
00261.HK	CCT Tech International Ltd
00262.HK	Deson Development International Holdings Ltd
00263.HK	Poly Investments Holdings Ltd
00264.HK	Chanco International Group Ltd
00265.HK	South China Holdings Ltd
00266.HK	Tian Teck Land Ltd
00267.HK	CITIC Pacific Ltd
00268.HK	Kingdee International Software Group Co. Ltd
00269.HK	Seapower Resources International Ltd
00270.HK	Guangdong Investment Ltd
00271.HK	Dan Form Holdings Co. Ltd
00272.HK	Shui On Land
00273.HK	Willie International Holdings Ltd
00274.HK	Global Green Tech Group Ltd
00275.HK	Hanny Holdings Ltd
00276.HK	Mongolia Energy
00277.HK	Tern Properties Co. Ltd
00278.HK	Wah Ha Realty Co. Ltd
00279.HK	Freeman Corporation Ltd
00280.HK	King Fook Holdings Ltd
00281.HK	Rivera (Holdings) Ltd
00282.HK	Next Media Ltd
00285.HK	BYD Electronic International Company Ltd
00286.HK	G-Prop (Holdings) Ltd
00287.HK	Winfair Investment Co. Ltd
00288.HK	Berjaya Holdings (HK) Ltd
00289.HK	Wing On Company International Ltd
